#Rank	Title	Distibutor	Title_wiki	Year	Poster	Trailer
1	The Empire Strikes Back	20th Century Fox	The_Empire_Strikes_Back	1980	3/3f/The_Empire_Strikes_Back_(1980_film).jpg	mz_YWNhKOkM
2	9 to 5	20th Century Fox	9_to_5_(film)	1980	e/e0/9_to_5_moviep.jpg	qni6HOyPNBA
3	Stir Crazy	Columbia	Stir_Crazy_(film)	1980	f/f1/Stir_Crazy.jpg	1U1h0aYcXyQ
4	Airplane!	Paramount	Airplane!	1980	2/21/Airplane!_(1980_film).jpg	07pPmCfKi3U
5	Any Which Way You Can	Warner Bros.	Any_Which_Way_You_Can	1980	2/29/Any_which_way_you_can.jpg	ahnYnbQdeDI
6 	Private Benjamin	Warner Bros.	Private_Benjamin_(1980_film)	1980	1/18/Private_benjamon.jpg	KTuip4gVJWg
7	Coal Miner's Daughter	Universal	Coal_Miner's_Daughter_(film)	1980	0/05/Coal_miners_daughter.jpg	V8I2cF51Npc
8	Smokey and the Bandit II	Universal	Smokey_and_the_Bandit_II	1980	2/2e/Smokey_and_the_bandit_ii_poster.jpg	H8INfASWJ4c
9	The Blue Lagoon	Columbia	The_Blue_Lagoon_(1980_film)	1980	3/32/Blue_lagoon_1980_movie_poster.jpg	A0UapwJIJn8
10	The Blues Brothers	Universal	The_Blues_Brothers_(film)	1980	a/ae/Bluesbrothersmovieposter.jpg	2HCR4c1zPyk
1	Raiders of the Lost Ark	Paramount	Raiders_of_the_Lost_Ark	1981	a/a6/Raiders_of_the_Lost_Ark_Theatrical_Poster.jpg	0xQSIdSRlAk
2	On Golden Pond	Universal	On_Golden_Pond_(1981_film)	1981	3/34/On_golden_pond.jpg	Y85sfYVOS84
3	Superman II	Warner Bros.	Superman_II	1981	3/36/Superman_II.jpg	jxD8RlGnP64
4	Arthur	Warner Bros.	Arthur_(1981_film)	1981	7/75/ArthurDVD.jpg	Z-vMsjd0ccM
5	Stripes	Columbia	Stripes_(film)	1981	3/3e/Stripesposter.jpg	sKHwEoCIYqA
6	The Cannonball Run	20th Century Fox	The_Cannonball_Run	1981	a/a0/Cannonball_run.jpg	s8BNVDUslcE
7	Chariots of Fire	Warner Bros.	Chariots_of_Fire	1981	b/b5/Chariots_of_fire.jpg	odtqtlhsv4E
8	For Your Eyes Only	United Artists	For_Your_Eyes_Only_(film)	1981	c/cd/For_Your_Eyes_Only_-_UK_cinema_poster.jpg	e0iF8TCk4Fw
9	The Four Seasons	Universal	The_Four_Seasons_(1981_film)	1981	9/9b/Four_seasonsmovieposter.jpg	QqTfHyRpXCI
10	Time Bandits	Embassy	Time_Bandits	1981	8/82/Time_bandits.jpg	vioocIR0gHQ
1	E.T. the Extra-Terrestrial	Universal	E.T._the_Extra-Terrestrial	1982	6/66/E_t_the_extra_terrestrial_ver3.jpg	wZNInG8kSiA
2	Tootsie	Columbia	Tootsie	1982	a/a2/Tootsie_imp.jpg	4U9hfQujTcM
3	An Officer and a Gentleman	Paramount	An_Officer_and_a_Gentleman	1982	0/06/An_Officer_and_a_Gentleman_film_poster.jpg	VEpu6TcmcJg
4	Rocky III	United Artists	Rocky_III	1982	f/f4/Rocky_iii_poster.jpg	o7vbDPUMWDc
5	Porky's	20th Century Fox	Porky's	1982	6/6e/Porkys.jpg	QWmtDAIK03M
6	Star Trek II: The Wrath of Khan	Paramount	Star_Trek_II:_The_Wrath_of_Khan	1982	9/9a/Star_Trek_II_The_Wrath_of_Khan.png	x8X44NRltMM
7	48 Hrs.	Paramount	48_Hrs.	1982	1/17/Forty_eight_hrs.jpg	GgOFrVID_CU
8	Poltergeist	MGM	Poltergeist_(1982_film)	1982	e/e4/Poltergeist_(1982).png	9eZgEKjYJqA
9	The Best Little Whorehouse in Texas	Universal	The_Best_Little_Whorehouse_in_Texas_(film)	1982	a/af/Best_little_whorehouse_in_texasposter.jpg	2BE3NqTRfLc
10	Annie	Columbia	Annie_(1982_film)	1982	c/cd/Annie-film.jpg	I78xulb-l0s

